EmployeeNumber,Department,JobRole,Gender,JobLevel,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Attrition,risk_score,risk_band
401,Sales,Sales Executive,Male,2,5828,Yes,4,3,7,Yes,0.9291204280512593,Élevé
403,Research & Development,Research Scientist,Male,1,2326,Yes,4,2,1,No,0.42074194223595834,Moyen
404,Sales,Sales Executive,Female,4,13525,No,2,4,4,No,0.452075654794886,Moyen
405,Research & Development,Laboratory Technician,Male,1,1420,No,3,3,0,Yes,0.7240204964057955,Élevé
406,Sales,Sales Executive,Male,3,8020,No,2,2,6,No,0.14573824301673,Faible
407,Research & Development,Laboratory Technician,Male,1,3688,No,4,3,0,No,0.4135149552228821,Moyen
408,Research & Development,Manufacturing Director,Male,2,5482,No,2,3,1,No,0.060002960985742725,Faible
410,Sales,Manager,Male,4,16015,No,2,3,0,No,0.07046058485244552,Faible
411,Sales,Sales Representative,Female,1,1200,No,3,3,0,No,0.8018005629168868,Élevé
412,Research & Development,Healthcare Representative,Male,2,5661,No,1,3,0,No,0.08917464323596633,Faible
416,Sales,Sales Executive,Male,2,6929,No,4,2,7,No,0.5454989671373225,Moyen
417,Research & Development,Healthcare Representative,Male,3,9613,No,4,2,3,No,0.0037188417067981977,Faible
419,Research & Development,Laboratory Technician,Female,2,5674,No,2,3,0,No,0.2565984336272381,Faible
420,Sales,Sales Executive,Male,2,5484,No,3,2,4,No,0.11489701657151029,Faible
421,Research & Development,Research Director,Female,3,12061,No,2,3,0,No,0.08738318958038366,Faible
422,Research & Development,Healthcare Representative,Male,2,5660,Yes,3,3,1,No,0.23976404844300583,Faible
423,Research & Development,Research Scientist,Male,1,4821,Yes,4,3,0,No,0.265688503403112,Faible
424,Human Resources,Human Resources,Male,2,6410,No,1,3,1,No,0.6343290643211825,Moyen
425,Research & Development,Laboratory Technician,Male,3,5210,No,1,3,9,No,0.3725737939929723,Moyen
426,Research & Development,Research Scientist,Male,1,2695,Yes,4,1,2,No,0.3380038086852093,Moyen
428,Research & Development,Manager,Female,3,11878,No,2,3,8,No,0.3317835999028916,Moyen
429,Research & Development,Manager,Male,4,17068,Yes,1,3,11,No,0.4293759682584151,Moyen
430,Research & Development,Laboratory Technician,Female,1,2455,No,4,3,1,No,0.18606949682430216,Faible
431,Research & Development,Healthcare Representative,Female,4,13964,Yes,3,3,0,No,0.32786552758109144,Faible
433,Research & Development,Research Scientist,Male,2,4941,No,2,2,7,Yes,0.23873131836261235,Faible
434,Research & Development,Research Scientist,Female,1,2478,Yes,2,2,1,No,0.6153623212122817,Moyen
436,Sales,Sales Executive,Female,2,5228,Yes,2,3,11,No,0.8226149326527057,Élevé
437,Sales,Sales Executive,Male,2,4478,Yes,3,3,0,No,0.7456863347809809,Élevé
438,Sales,Sales Executive,Male,2,7547,No,4,3,1,No,0.05123059767997541,Faible
439,Research & Development,Research Scientist,Female,2,5055,No,4,2,0,No,0.09792851724251674,Faible
440,Research & Development,Research Scientist,Male,1,3464,Yes,4,2,2,Yes,0.7779336836866072,Élevé
441,Research & Development,Research Scientist,Female,2,5775,No,4,3,1,No,0.00846969082885771,Faible
442,Research & Development,Manufacturing Director,Female,3,8943,No,3,3,8,No,0.18213104923788426,Faible
444,Research & Development,Manager,Male,5,19272,No,4,3,13,No,0.33030857696367416,Moyen
445,Sales,Sales Executive,Female,2,5238,Yes,3,2,0,Yes,0.520947432621987,Moyen
446,Sales,Sales Executive,Male,2,4682,No,4,2,0,No,0.7400837006724065,Élevé
447,Research & Development,Research Director,Male,5,18300,No,3,3,1,No,0.0319612347245283,Faible
448,Research & Development,Laboratory Technician,Female,2,5257,No,3,4,0,No,0.36195693582936833,Moyen
449,Sales,Sales Executive,Male,2,6349,Yes,2,3,1,No,0.6136078998357459,Moyen
450,Research & Development,Research Scientist,Female,2,4869,No,3,2,0,No,0.06728727600452837,Faible
451,Research & Development,Healthcare Representative,Female,3,9985,No,1,2,0,No,0.3326222903653177,Moyen
452,Research & Development,Research Scientist,Male,2,3697,No,4,3,9,No,0.20152415701539467,Faible
453,Sales,Sales Executive,Male,2,7457,Yes,4,2,0,No,0.5448241954142645,Moyen
454,Research & Development,Laboratory Technician,Male,1,2119,Yes,1,2,0,Yes,0.8336662902894971,Élevé
455,Research & Development,Laboratory Technician,Male,1,3983,No,4,3,2,No,0.4818385960992462,Moyen
456,Sales,Sales Executive,Female,2,6118,No,3,3,1,No,0.07960853058680323,Faible
458,Sales,Sales Executive,Female,2,6214,No,2,3,0,No,0.12947270032904246,Faible
460,Research & Development,Manufacturing Director,Male,2,6347,No,4,2,0,No,0.05334234638549933,Faible
461,Research & Development,Research Director,Male,3,11510,Yes,4,3,2,No,0.14043804220490658,Faible
462,Research & Development,Manufacturing Director,Female,3,7143,Yes,4,2,4,No,0.22876838249793202,Faible
463,Sales,Sales Executive,Female,2,8268,Yes,2,3,1,No,0.5352143591108218,Moyen
464,Research & Development,Manufacturing Director,Male,3,8095,No,2,3,0,No,0.022846487639510114,Faible
465,Research & Development,Research Scientist,Male,1,2904,No,4,2,0,No,0.09135886606334896,Faible
466,Research & Development,Manufacturing Director,Male,2,6032,Yes,2,3,1,No,0.772427341092545,Élevé
467,Sales,Sales Representative,Male,2,2976,No,3,3,0,No,0.7197809019963269,Élevé
468,Research & Development,Research Director,Female,4,15992,No,4,3,0,No,0.18740927007324976,Faible
469,Sales,Sales Executive,Male,2,4649,No,3,2,0,No,0.19388642936064543,Faible
470,Human Resources,Human Resources,Male,1,2696,Yes,3,3,1,No,0.5427760117542234,Moyen
471,Research & Development,Laboratory Technician,Female,1,2370,No,2,3,0,No,0.0874633446786053,Faible
473,Sales,Manager,Female,3,12504,No,3,1,0,No,0.4225934227473586,Moyen
474,Research & Development,Research Scientist,Male,2,5974,Yes,1,3,6,No,0.3263574726774025,Faible
475,Sales,Sales Executive,Female,2,4736,Yes,3,4,2,No,0.951039518036188,Élevé
476,Sales,Sales Executive,Male,2,5296,No,3,3,7,No,0.1874470416840019,Faible
477,Research & Development,Healthcare Representative,Male,2,6781,No,4,3,0,No,0.20934067476745477,Faible
478,Sales,Sales Representative,Female,1,2174,Yes,2,3,1,Yes,0.9829650631087635,Élevé
479,Sales,Sales Executive,Female,2,6653,No,4,3,0,No,0.22192158194454586,Faible
481,Sales,Sales Executive,Male,3,9699,No,4,3,1,No,0.27372464170743876,Faible
482,Research & Development,Healthcare Representative,Male,2,6755,No,3,3,1,No,0.04400623911866712,Faible
483,Research & Development,Laboratory Technician,Female,1,2213,Yes,3,3,1,No,0.2487037725289783,Faible
484,Sales,Sales Representative,Male,1,2610,No,4,2,2,No,0.6881501474006683,Élevé
485,Sales,Sales Representative,Female,1,2851,Yes,3,3,0,Yes,0.9251538927262735,Élevé
486,Research & Development,Laboratory Technician,Female,1,3452,No,1,3,0,No,0.35013768053809285,Moyen
487,Research & Development,Manufacturing Director,Female,2,5258,No,3,4,0,No,0.052626638469685204,Faible
488,Sales,Sales Executive,Male,2,9355,No,2,3,7,Yes,0.6621886610356498,Élevé
491,Research & Development,Healthcare Representative,Male,3,10496,No,4,3,1,No,0.12766515212400448,Faible
492,Sales,Sales Executive,Male,2,6380,Yes,3,3,1,Yes,0.8803893001566637,Élevé
493,Research & Development,Research Scientist,Male,1,2657,Yes,2,3,2,No,0.6616697236489426,Élevé
494,Sales,Sales Representative,Female,1,2716,No,2,3,0,Yes,0.7031323682488834,Élevé
495,Research & Development,Research Scientist,Male,1,2201,No,4,3,1,No,0.42014116172934884,Moyen
496,Research & Development,Healthcare Representative,Male,2,6540,No,2,3,0,No,0.6132181248275682,Moyen
497,Research & Development,Laboratory Technician,Male,1,3816,No,2,3,0,No,0.15105816623258986,Faible
498,Sales,Sales Executive,Male,2,5253,No,4,3,0,No,0.27626323769560124,Faible
499,Research & Development,Healthcare Representative,Male,3,10965,No,3,3,0,No,0.2083216857879758,Faible
500,Sales,Sales Executive,Female,2,4936,No,4,2,0,No,0.039853360392821245,Faible
501,Research & Development,Research Scientist,Female,1,2543,No,3,3,2,No,0.09865719033243443,Faible
502,Sales,Sales Executive,Male,2,5304,Yes,4,2,0,Yes,0.9585013093836079,Élevé
505,Research & Development,Manager,Female,4,16659,Yes,4,3,1,No,0.050981296702686175,Faible
507,Sales,Sales Executive,Female,2,4260,Yes,3,4,0,No,0.5450691256841275,Moyen
508,Sales,Sales Representative,Male,1,2476,No,2,3,0,No,0.5989497624221558,Moyen
510,Research & Development,Research Scientist,Male,1,3102,No,1,3,0,Yes,0.3361076325206091,Moyen
511,Research & Development,Research Scientist,Female,1,2244,No,2,3,1,No,0.23059745419598207,Faible
513,Sales,Sales Executive,Male,3,7596,No,3,3,9,No,0.5663727308798269,Moyen
514,Research & Development,Research Scientist,Male,1,2285,Yes,4,3,0,Yes,0.9674864785986189,Élevé
515,Research & Development,Laboratory Technician,Female,1,3034,No,1,2,12,No,0.1430004193046071,Faible
516,Sales,Sales Executive,Female,2,5715,No,2,3,1,No,0.23224699302323606,Faible
517,Research & Development,Laboratory Technician,Female,1,2576,No,1,3,1,No,0.3333076667049183,Moyen
518,Research & Development,Manufacturing Director,Male,2,4197,Yes,2,2,0,No,0.5180887718410113,Moyen
520,Research & Development,Research Director,Male,4,14336,No,2,3,3,No,0.03573923984213645,Faible
521,Research & Development,Laboratory Technician,Female,2,3448,No,3,3,0,No,0.39898438204243797,Moyen
522,Research & Development,Research Director,Male,5,19406,No,1,2,1,No,0.055516093229701025,Faible
523,Sales,Sales Executive,Female,2,6538,No,3,3,1,No,0.527611733249568,Moyen
524,Research & Development,Manufacturing Director,Female,2,4306,No,1,1,3,No,0.04076159062913686,Faible
525,Research & Development,Laboratory Technician,Male,1,2258,No,4,3,1,No,0.8551031910569569,Élevé
526,Research & Development,Healthcare Representative,Female,2,4522,Yes,3,3,0,No,0.293607929814611,Faible
527,Sales,Sales Executive,Female,2,4487,Yes,4,3,1,No,0.8479188997236019,Élevé
529,Research & Development,Research Scientist,Female,2,4449,Yes,3,3,10,No,0.5353138815721182,Moyen
530,Research & Development,Laboratory Technician,Male,1,2218,No,1,3,3,No,0.5060526571667172,Moyen
531,Research & Development,Manager,Male,5,19197,Yes,3,3,1,No,0.11235820613421002,Faible
532,Sales,Sales Executive,Female,4,13212,No,1,2,7,No,0.10537875949202771,Faible
533,Sales,Sales Executive,Female,2,6577,No,3,3,4,No,0.5224246430714364,Moyen
534,Sales,Sales Executive,Male,3,8392,No,1,3,0,No,0.09943621924888299,Faible
536,Research & Development,Laboratory Technician,Male,2,4558,No,1,3,1,No,0.24222663100481548,Faible
538,Research & Development,Laboratory Technician,Male,1,4031,No,1,3,0,Yes,0.5989223351041159,Moyen
543,Research & Development,Manufacturing Director,Male,3,7969,Yes,3,3,0,No,0.07555572581303922,Faible
544,Research & Development,Research Scientist,Male,1,2654,No,4,2,0,No,0.09622347320154909,Faible
546,Research & Development,Manager,Female,4,16555,No,4,1,1,No,0.0024330135915290514,Faible
547,Research & Development,Research Scientist,Female,2,4556,No,3,3,0,No,0.17458822891178058,Faible
548,Research & Development,Manufacturing Director,Female,2,6091,No,4,3,0,No,0.2131106432595576,Faible
549,Research & Development,Manager,Female,5,19566,No,1,1,11,No,0.11283234678638186,Faible
550,Research & Development,Manufacturing Director,Female,2,4810,No,3,2,0,No,0.008280333395449589,Faible
551,Research & Development,Healthcare Representative,Female,2,4523,No,4,4,0,No,0.06278538580512102,Faible
554,Sales,Sales Representative,Female,1,3202,Yes,2,3,1,Yes,0.8545618338445256,Élevé
555,Sales,Sales Representative,Female,1,2351,No,3,2,1,Yes,0.5103322685586421,Moyen
556,Research & Development,Laboratory Technician,Male,1,1702,Yes,4,3,0,No,0.6852280800209815,Élevé
558,Sales,Manager,Female,5,18041,No,3,3,1,No,0.004178797644674896,Faible
560,Research & Development,Research Scientist,Female,1,2886,No,4,1,0,No,0.13445505813996073,Faible
562,Research & Development,Laboratory Technician,Male,1,2097,No,4,1,1,No,0.1412905278957303,Faible
564,Research & Development,Research Director,Male,3,11935,No,3,3,0,No,0.05118568494830068,Faible
565,Research & Development,Research Scientist,Female,1,2546,No,2,4,1,Yes,0.6265501632343741,Moyen
566,Human Resources,Human Resources,Male,1,2564,No,4,4,0,Yes,0.7059407493182358,Élevé
567,Sales,Sales Executive,Female,3,8412,No,1,3,7,No,0.23988842546669634,Faible
568,Sales,Manager,Male,4,14118,No,4,2,0,No,0.25905041521516714,Faible
569,Research & Development,Manager,Male,4,17046,No,3,3,15,No,0.22530491563032928,Faible
571,Research & Development,Laboratory Technician,Female,1,2564,No,4,2,6,No,0.1183285064929886,Faible
573,Sales,Sales Executive,Female,3,10266,No,1,4,13,No,0.3593613010713961,Moyen
574,Research & Development,Manufacturing Director,Female,2,5070,No,4,3,0,No,0.016948848529897156,Faible
575,Research & Development,Research Director,Male,4,17861,No,3,1,0,No,0.054482087704738634,Faible
577,Research & Development,Laboratory Technician,Male,1,4230,No,3,3,4,No,0.7074577095462953,Élevé
578,Research & Development,Laboratory Technician,Female,2,3780,No,3,3,0,No,0.4782391025004433,Moyen
579,Research & Development,Research Scientist,Male,1,2768,No,3,3,5,No,0.04904614336767505,Faible
580,Sales,Sales Executive,Female,3,9071,Yes,4,3,1,No,0.3464144050190966,Moyen
581,Research & Development,Manufacturing Director,Male,3,10648,No,2,4,0,No,0.009307286004736523,Faible
582,Research & Development,Manager,Male,3,13610,Yes,3,4,7,Yes,0.6564160477379504,Moyen
584,Research & Development,Laboratory Technician,Male,1,3408,No,4,3,1,Yes,0.6376167477992536,Moyen
585,Sales,Sales Representative,Male,1,2983,No,2,3,1,No,0.6796811144020722,Élevé
586,Research & Development,Healthcare Representative,Male,3,7632,Yes,3,3,0,No,0.585483186403066,Moyen
587,Research & Development,Healthcare Representative,Male,3,9824,No,3,3,0,Yes,0.6899286736086934,Élevé
590,Human Resources,Human Resources,Female,3,9950,Yes,1,3,0,Yes,0.8999244528173115,Élevé
591,Research & Development,Laboratory Technician,Male,1,2093,No,3,3,2,No,0.31970028220843294,Faible
592,Sales,Sales Executive,Male,3,9980,No,4,2,9,No,0.4686649373646669,Moyen
593,Research & Development,Laboratory Technician,Male,1,3894,No,3,3,1,Yes,0.8215984486628536,Élevé
595,Sales,Sales Executive,Female,2,4051,No,4,3,6,No,0.23796329643915132,Faible
597,Sales,Manager,Female,4,16835,No,2,3,7,No,0.09632207653924117,Faible
599,Sales,Sales Executive,Male,2,6230,No,4,3,1,No,0.20337480542949743,Faible
600,Sales,Sales Executive,Male,2,4717,No,3,3,6,No,0.6682318758741214,Élevé
601,Research & Development,Manufacturing Director,Female,4,13237,No,3,3,5,No,0.12741689706493786,Faible
602,Research & Development,Laboratory Technician,Female,1,3755,No,3,3,0,No,0.20864123357642675,Faible
604,Sales,Sales Executive,Male,2,6582,Yes,4,4,0,No,0.689694046677216,Élevé
605,Research & Development,Manufacturing Director,Male,3,7406,Yes,1,2,5,No,0.5022486992059779,Moyen
606,Sales,Sales Executive,Male,2,4805,No,2,4,3,No,0.04394236885938623,Faible
608,Human Resources,Human Resources,Female,1,2741,Yes,3,2,1,Yes,0.8350786425084483,Élevé
611,Research & Development,Manufacturing Director,Male,2,4262,No,4,4,1,No,0.27980177935048023,Faible
612,Research & Development,Research Director,Female,4,16184,No,3,3,0,No,0.03120424923637437,Faible
613,Sales,Manager,Male,3,11557,No,4,2,0,No,0.5871469191373114,Moyen
614,Sales,Sales Representative,Male,1,1878,Yes,2,3,0,Yes,0.9792005599124548,Élevé
615,Sales,Sales Executive,Male,3,10932,No,1,3,0,No,0.2947006438829892,Faible
616,Research & Development,Healthcare Representative,Female,2,6811,Yes,3,3,0,No,0.35710119102101956,Moyen
618,Sales,Sales Executive,Male,2,4306,No,3,3,0,No,0.7688101007959935,Élevé
620,Sales,Sales Executive,Female,2,4859,No,3,3,0,No,0.27473912825062485,Faible
621,Sales,Sales Executive,Male,2,5337,No,4,3,5,No,0.3314061017764713,Moyen
622,Research & Development,Laboratory Technician,Male,1,2340,Yes,4,1,0,Yes,0.9825938239547491,Élevé
623,Research & Development,Manufacturing Director,Female,3,7491,No,4,4,1,No,0.10529295931879779,Faible
624,Research & Development,Healthcare Representative,Female,3,10527,No,3,2,1,No,0.11459190473817733,Faible
625,Sales,Manager,Female,4,16595,No,1,3,11,No,0.23171424137499982,Faible
626,Sales,Sales Executive,Male,3,8834,No,2,3,7,No,0.34907484606125605,Moyen
630,Research & Development,Research Scientist,Male,2,5577,Yes,1,3,6,No,0.1829936969879936,Faible
631,Sales,Sales Executive,Male,2,4707,No,3,3,1,Yes,0.40706563428764486,Moyen
632,Sales,Sales Representative,Male,1,2400,No,4,3,2,No,0.5791428446693492,Moyen
634,Research & Development,Healthcare Representative,Female,2,9824,No,3,3,0,No,0.017164875710412756,Faible
635,Research & Development,Manufacturing Director,Female,2,6447,No,2,2,4,No,0.3451335315278334,Moyen
638,Research & Development,Research Director,Male,5,19502,Yes,3,3,0,No,0.02055602464990013,Faible
639,Research & Development,Research Scientist,Male,1,2725,Yes,4,3,1,No,0.42724924131567477,Moyen
641,Sales,Sales Executive,Male,2,6272,No,2,4,1,No,0.5655495594035919,Moyen
643,Research & Development,Laboratory Technician,Male,1,2127,No,2,3,0,No,0.5659709210259514,Moyen
644,Human Resources,Manager,Male,5,18200,No,2,3,10,No,0.1813236629155318,Faible
645,Sales,Sales Representative,Male,1,2096,No,3,3,0,No,0.4191777575873593,Moyen
647,Research & Development,Laboratory Technician,Female,1,2886,Yes,3,3,1,Yes,0.7204146677874105,Élevé
648,Sales,Sales Representative,Male,1,2033,No,1,4,0,Yes,0.8413409703889783,Élevé
649,Research & Development,Research Scientist,Male,1,3622,Yes,4,3,1,No,0.2855349545629412,Faible
650,Sales,Sales Executive,Male,2,4233,No,1,1,1,Yes,0.4596372095935027,Moyen
652,Research & Development,Laboratory Technician,Male,2,3681,No,4,3,0,No,0.7452800778134603,Élevé
653,Sales,Sales Executive,Male,2,5460,No,4,4,5,No,0.16477916045356353,Faible
655,Research & Development,Research Scientist,Female,1,2187,No,3,2,0,No,0.05582583068260777,Faible
656,Sales,Sales Executive,Male,2,9602,Yes,3,2,1,No,0.6714027960631525,Élevé
657,Research & Development,Research Scientist,Female,1,2836,No,2,4,0,No,0.202031754139432,Faible
659,Research & Development,Healthcare Representative,Female,2,4089,No,4,3,2,No,0.04913452809697493,Faible
661,Research & Development,Research Director,Male,4,16627,Yes,4,2,0,No,0.21893292119302368,Faible
662,Research & Development,Research Scientist,Female,1,2619,No,1,2,0,No,0.12215709395856003,Faible
663,Research & Development,Laboratory Technician,Male,2,5679,Yes,3,3,4,No,0.7350173480185073,Élevé
664,Research & Development,Manager,Female,4,15402,No,1,1,0,No,0.09556868400795303,Faible
665,Human Resources,Human Resources,Female,2,5985,No,3,4,0,No,0.3905885957932079,Moyen
666,Sales,Sales Representative,Female,1,2579,Yes,3,3,0,No,0.49096316048966027,Moyen
667,Sales,Sales Representative,Male,1,3041,No,1,3,0,Yes,0.3554231639615366,Moyen
669,Sales,Sales Representative,Male,1,3447,No,3,3,1,No,0.7920870295814826,Élevé
671,Research & Development,Manager,Male,5,19513,Yes,4,4,0,No,0.08296446477691731,Faible
675,Research & Development,Research Scientist,Male,1,2773,No,3,3,2,No,0.2083075358643792,Faible
677,Sales,Sales Executive,Male,2,7104,No,3,3,1,No,0.26129094558844884,Faible
679,Research & Development,Research Scientist,Female,2,6322,Yes,4,2,0,No,0.2504898369978151,Faible
680,Research & Development,Research Scientist,Female,1,2083,No,3,3,0,No,0.24784410308370758,Faible
682,Sales,Sales Executive,Female,2,8381,No,1,4,8,No,0.3417194077321893,Moyen
683,Research & Development,Research Scientist,Male,1,2691,No,4,2,8,No,0.03580783782633369,Faible
684,Sales,Sales Executive,Female,2,4286,No,1,3,0,Yes,0.6822283340079923,Élevé
686,Research & Development,Laboratory Technician,Female,1,2659,Yes,4,3,0,No,0.5541951380335419,Moyen
689,Research & Development,Manufacturing Director,Male,3,9434,No,3,3,7,No,0.05077721500588419,Faible
690,Sales,Sales Executive,Female,2,5561,No,3,2,1,No,0.21308638427294077,Faible
691,Research & Development,Research Scientist,Male,2,6646,No,4,3,11,No,0.2612947911386295,Faible
692,Research & Development,Healthcare Representative,Male,2,7725,No,4,1,4,No,0.06936094521728012,Faible
698,Human Resources,Human Resources,Male,3,10725,No,2,4,7,No,0.2613997355186242,Faible
699,Research & Development,Manufacturing Director,Male,2,8847,Yes,2,3,0,No,0.4189871860697897,Moyen
700,Research & Development,Research Scientist,Male,1,2045,No,4,3,1,No,0.2336220054392015,Faible
701,Research & Development,Research Scientist,Male,1,1009,Yes,3,3,1,Yes,0.5928987438556161,Moyen
702,Research & Development,Research Scientist,Male,1,3348,Yes,1,3,9,Yes,0.9093687371462249,Élevé
704,Research & Development,Laboratory Technician,Male,1,1281,No,3,3,0,No,0.20624742887130915,Faible
705,Research & Development,Research Scientist,Male,1,2819,No,1,4,0,No,0.16155082909104498,Faible
707,Sales,Sales Executive,Male,2,4851,No,2,3,1,No,0.21987563507657623,Faible
709,Sales,Sales Executive,Female,2,4028,No,4,3,0,No,0.35979799244824157,Moyen
710,Research & Development,Research Scientist,Male,1,2720,No,4,3,2,No,0.04328161645847342,Faible
712,Sales,Sales Executive,Male,2,8120,No,2,3,2,No,0.20500380209262026,Faible
714,Sales,Sales Executive,Female,2,4647,Yes,4,3,0,No,0.3239621406411524,Faible
715,Research & Development,Research Scientist,Male,1,4680,No,4,3,0,No,0.1185827791874113,Faible
716,Research & Development,Laboratory Technician,Male,1,3221,Yes,3,3,3,No,0.17003739940558907,Faible
717,Research & Development,Healthcare Representative,Female,3,8621,No,2,4,7,No,0.15962600543833425,Faible
720,Sales,Sales Executive,Female,2,4577,No,3,3,2,Yes,0.9275021513921294,Élevé
721,Research & Development,Healthcare Representative,Female,2,4553,No,3,3,11,No,0.3243251635293443,Faible
722,Sales,Sales Executive,Male,2,5396,No,4,2,0,No,0.15256520543339108,Faible
723,Sales,Sales Executive,Male,2,6796,Yes,3,3,1,Yes,0.7689937350558775,Élevé
724,Research & Development,Healthcare Representative,Female,2,7625,No,4,2,1,No,0.02046724635322287,Faible
725,Research & Development,Manufacturing Director,Female,3,7412,No,1,3,0,No,0.0408107413934358,Faible
727,Research & Development,Research Director,Female,3,11159,No,4,3,7,No,0.05072536501858545,Faible
728,Sales,Sales Executive,Male,2,4960,No,1,3,1,No,0.19868878762453862,Faible
729,Sales,Sales Executive,Male,3,10475,Yes,1,3,1,No,0.5840961870625718,Moyen
730,Research & Development,Research Director,Male,4,14814,No,3,3,1,No,0.005884296103805223,Faible
731,Human Resources,Manager,Male,5,19141,No,4,2,12,No,0.2391451527787007,Faible
732,Sales,Sales Executive,Male,2,5405,No,1,3,2,No,0.8761141921356506,Élevé
733,Research & Development,Manufacturing Director,Male,3,8793,No,1,2,1,No,0.11250016190946073,Faible
734,Human Resources,Manager,Male,5,19189,No,3,3,2,No,0.023851663357223524,Faible
738,Sales,Sales Representative,Male,1,3875,No,2,3,2,No,0.6755283931875344,Élevé
741,Research & Development,Research Scientist,Female,1,2216,Yes,2,3,3,Yes,0.7934184483856587,Élevé
742,Research & Development,Research Director,Female,3,11713,No,1,3,0,No,0.24414395621685678,Faible
743,Research & Development,Manufacturing Director,Female,3,7861,Yes,3,4,0,No,0.5526869181711641,Moyen
744,Research & Development,Laboratory Technician,Male,1,3708,No,3,3,1,No,0.6892415115217028,Élevé
746,Sales,Sales Executive,Female,4,13770,Yes,3,2,11,No,0.7451423863489883,Élevé
747,Sales,Sales Executive,Male,2,5304,No,4,2,7,No,0.8221074368750494,Élevé
749,Sales,Sales Representative,Male,1,2642,No,3,3,0,No,0.6139348612265413,Moyen
752,Research & Development,Research Scientist,Male,1,2759,Yes,3,3,2,Yes,0.7742101044225757,Élevé
754,Sales,Sales Executive,Male,2,6804,No,4,3,2,No,0.31284950418017776,Faible
757,Research & Development,Healthcare Representative,Female,2,6142,No,3,3,4,No,0.2963030593100499,Faible
758,Research & Development,Laboratory Technician,Male,1,2500,No,1,4,0,No,0.3315785367801643,Moyen
760,Human Resources,Human Resources,Female,2,6389,No,2,1,3,No,0.29636919918285953,Faible
762,Research & Development,Healthcare Representative,Male,4,11103,No,4,2,1,No,0.070972123776273,Faible
763,Research & Development,Research Scientist,Female,1,2342,Yes,4,2,2,No,0.33771117298387804,Moyen
764,Research & Development,Healthcare Representative,Female,2,6811,No,1,1,0,No,0.3658116049474621,Moyen
766,Sales,Sales Representative,Male,1,2297,No,2,3,2,No,0.38261883994103907,Moyen
769,Research & Development,Laboratory Technician,Male,2,2450,No,4,3,2,No,0.11813450162199127,Faible
771,Research & Development,Healthcare Representative,Female,2,5093,No,1,4,0,No,0.0569591521710861,Faible
772,Research & Development,Laboratory Technician,Male,2,5309,No,4,3,4,No,0.4291827609343615,Moyen
773,Research & Development,Research Scientist,Male,1,3057,Yes,3,1,0,No,0.7152769773604349,Élevé
775,Research & Development,Manufacturing Director,Female,2,5121,No,1,3,0,No,0.2485748377827276,Faible
776,Sales,Manager,Male,4,16856,No,1,4,1,No,0.037126798205837544,Faible
780,Research & Development,Research Scientist,Male,1,2686,Yes,4,2,7,Yes,0.33052494031749635,Moyen
781,Sales,Sales Executive,Female,2,6180,No,4,2,1,No,0.3946748278222353,Moyen
783,Sales,Sales Representative,Male,2,6632,No,3,3,3,No,0.6849610121078017,Élevé
784,Research & Development,Research Scientist,Male,1,3505,No,3,3,0,No,0.17076276803008636,Faible
785,Sales,Sales Executive,Female,2,6397,Yes,3,3,1,Yes,0.9174791550954092,Élevé
786,Sales,Sales Executive,Male,2,6274,No,4,3,1,No,0.1986501611424657,Faible
787,Research & Development,Manager,Male,5,19859,Yes,1,3,1,Yes,0.13604494623580285,Faible
789,Sales,Sales Executive,Male,3,7587,No,1,3,0,No,0.3271778668034859,Faible
791,Research & Development,Research Scientist,Male,1,4258,No,4,3,1,No,0.0301683685719352,Faible
792,Research & Development,Laboratory Technician,Female,1,4364,No,4,3,2,No,0.7429468135025872,Élevé
793,Research & Development,Healthcare Representative,Female,2,4335,No,3,2,1,No,0.418186427655238,Moyen
796,Sales,Sales Executive,Male,2,5326,No,1,2,1,Yes,0.8142540895492779,Élevé
797,Research & Development,Research Scientist,Female,1,3280,No,4,3,1,No,0.0671348036629744,Faible
799,Research & Development,Manufacturing Director,Female,2,5485,Yes,1,3,1,No,0.7439757141393991,Élevé
800,Sales,Sales Executive,Male,2,4342,No,4,3,1,No,0.36180940960088775,Moyen
802,Research & Development,Research Scientist,Female,1,2782,Yes,1,2,4,No,0.3123978437939807,Faible
803,Research & Development,Manufacturing Director,Female,2,5980,Yes,1,3,4,No,0.7553161635452159,Élevé
804,Research & Development,Research Scientist,Female,1,4381,No,1,3,1,No,0.21079754934733874,Faible
805,Sales,Sales Representative,Female,1,2572,No,4,2,0,No,0.4060696302068007,Moyen
806,Research & Development,Laboratory Technician,Male,1,3833,No,3,3,0,No,0.28810424696199405,Faible
807,Research & Development,Healthcare Representative,Female,2,4244,No,2,3,3,No,0.04385661805627239,Faible
808,Sales,Sales Executive,Female,2,6500,No,1,3,1,No,0.3740273562365366,Moyen
809,Research & Development,Manager,Male,5,18430,No,4,2,14,No,0.22522435135562968,Faible
811,Research & Development,Laboratory Technician,Male,1,1601,Yes,1,3,0,Yes,0.8112722797614544,Élevé
812,Research & Development,Laboratory Technician,Male,1,2694,No,2,3,0,No,0.33386924416751035,Moyen
813,Research & Development,Laboratory Technician,Female,2,3149,No,3,3,1,No,0.42514822928176704,Moyen
815,Research & Development,Research Director,Male,4,17639,No,3,3,0,No,0.008300604931142562,Faible
